req.url,count(*)
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10636/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50,12
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10810,116
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12261/users,72
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10902,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10909/calls/614c1ea7ed7cb50019dfb8b0,3
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10822/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=75&is_complete=false,23
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-13005,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12274/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12305,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12029/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12305/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-13005/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12261/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12029,108
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12029/users,72
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10657,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10657/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10657/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10531/calls/614c1ec4755d37001974b271,1
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10695,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10695/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10574/calls/614c1eb9755d37001974b260,2
